CONN,0,27.46.189.72,34318,->,203.163.120.111,80,6.000000
EVENT,0,0,203.163.120.111,SEND,1460,0,10.000000
EVENT,0,1,203.163.120.111,SEND,1460,0,10.000014
EVENT,0,2,203.163.120.111,SEND,1460,0,10.000180
CONN,4,163.221.118.3,59967,->,23.169.61.202,443,6.000332
EVENT,4,0,23.169.61.202,SEND,1354,0,10.000332
EVENT,4,1,23.169.61.202,SEND,1354,0,10.000344
EVENT,4,2,23.169.61.202,SEND,1354,0,10.000360
EVENT,4,3,23.169.61.202,SEND,1354,0,10.000368
EVENT,4,4,23.169.61.202,SEND,1354,0,10.000384
EVENT,4,5,23.169.61.202,SEND,1354,0,10.000391
EVENT,4,6,23.169.61.202,SEND,1354,0,10.000407
EVENT,4,7,23.169.61.202,SEND,1354,0,10.000414
EVENT,4,8,23.169.61.202,SEND,1354,0,10.000430
EVENT,4,9,23.169.61.202,SEND,1354,0,10.000436
EVENT,4,10,23.169.61.202,SEND,1354,0,10.000449
EVENT,4,11,23.169.61.202,SEND,1519,0,10.000471
EVENT,4,12,23.169.61.202,SEND,1354,0,10.000719
EVENT,4,13,23.169.61.202,SEND,1354,0,10.000730
EVENT,4,14,23.169.61.202,SEND,1354,0,10.000742
EVENT,4,15,23.169.61.202,SEND,1354,0,10.000758
EVENT,4,16,23.169.61.202,SEND,1354,0,10.000764
EVENT,4,17,23.169.61.202,SEND,1354,0,10.000781
EVENT,4,18,23.169.61.202,SEND,1354,0,10.000787
EVENT,4,19,23.169.61.202,SEND,1354,0,10.000805
EVENT,4,20,23.169.61.202,SEND,1354,0,10.000809
EVENT,4,21,23.169.61.202,SEND,1354,0,10.000824
EVENT,4,22,23.169.61.202,SEND,1354,0,10.000834
CONN,8,27.46.189.74,48262,->,203.163.120.111,80,6.000862
EVENT,8,0,203.163.120.111,SEND,1460,0,10.000862
EVENT,0,3,203.163.120.111,SEND,1460,0,10.000214
EVENT,0,4,203.163.120.111,SEND,1460,0,10.001006
EVENT,8,1,203.163.120.111,SEND,1460,0,10.000908
